,Unnamed: 0,team_name,week,neutral_site,conference_game,home_team,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_team,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,elo_diff,point_diff,home/away,win/loss
143,143,Fresno State,12,False,True,Nevada,14.0,0.3438664873170685,1277.0,1240.0,Fresno State,41.0,0.6561335126829315,1583.0,1620.0,306.0,27.0,Away,W
144,144,Fresno State,13,False,True,Fresno State,30.0,0.9960302829904544,1620.0,1676.0,Wyoming,0.0,0.003969717009545515,1415.0,1359.0,205.0,30.0,Home,W
145,145,Fresno State,14,False,True,Boise State,16.0,0.21303115175047832,1750.0,1717.0,Fresno State,28.0,0.7869688482495216,1676.0,1709.0,-74.0,12.0,Away,W
146,146,Rice,1,False,False,USC,66.0,0.998950951785842,1487.0,1612.0,Rice,14.0,0.001049048214158077,1245.0,1120.0,-242.0,-52.0,Away,L
147,147,Rice,2,False,False,Rice,52.0,0.9988655966851452,1111.0,1111.0,McNeese,10.0,0.001134403314854815,,,,42.0,Home,W
148,148,Rice,3,False,False,Rice,33.0,0.9809286199736944,1120.0,1204.0,Louisiana,21.0,0.019071380026305595,1755.0,1671.0,-635.0,12.0,Home,W
149,149,Rice,4,False,False,Houston,34.0,0.9927712854053417,1527.0,1520.0,Rice,27.0,0.007228714594658458,1204.0,1211.0,-323.0,-7.0,Away,L
150,150,Rice,5,False,True,Rice,28.0,0.4554328299353524,1211.0,1225.0,UAB,24.0,0.5445671700646476,1556.0,1542.0,-345.0,4.0,Home,W
151,151,Rice,7,False,True,Florida Atlantic,17.0,0.9165993129676436,1372.0,1371.0,Rice,14.0,0.08340068703235637,1225.0,1226.0,-147.0,-3.0,Away,L
152,152,Rice,8,False,True,Louisiana Tech,41.0,0.01423465656119894,1179.0,1180.0,Rice,42.0,0.9857653434388012,1226.0,1225.0,47.0,1.0,Away,W
153,153,Rice,9,False,True,Rice,23.0,0.005381994257032964,1225.0,1104.0,Charlotte,56.0,0.994618005742967,1049.0,1170.0,176.0,-33.0,Home,L
154,154,Rice,10,False,True,Rice,37.0,0.9271479776660488,1104.0,1124.0,UTEP,30.0,0.07285202233395127,1272.0,1252.0,-168.0,7.0,Home,W
155,155,Rice,11,False,True,Western Kentucky,45.0,0.9652824949466926,1742.0,1767.0,Rice,10.0,0.0347175050533074,1124.0,1099.0,-618.0,-35.0,Away,L
156,156,Rice,12,False,True,Rice,7.0,0.0005815667190769923,1099.0,1064.0,UT San Antonio,41.0,0.9994184332809232,1613.0,1648.0,-514.0,-34.0,Home,L
157,157,Rice,13,False,True,North Texas,21.0,0.30126649215855816,1496.0,1487.0,Rice,17.0,0.6987335078414418,1064.0,1073.0,-432.0,-4.0,Away,L
158,158,Southern Mississippi,1,False,False,Southern Mississippi,27.0,0.9056848747505264,1266.0,1280.0,Liberty,29.0,0.0943151252494736,1600.0,1586.0,-334.0,-2.0,Home,L
159,159,Southern Mississippi,2,False,False,Miami,30.0,0.9950922479881926,1570.0,1596.0,Southern Mississippi,7.0,0.004907752011807376,1280.0,1254.0,-290.0,-23.0,Away,L
160,160,Southern Mississippi,3,False,False,Southern Mississippi,64.0,0.9989571985524732,1243.0,1243.0,Northwestern State,10.0,0.0010428014475268863,,,,54.0,Home,W
161,161,Southern Mississippi,4,False,False,Tulane,24.0,0.8193527531016891,1512.0,1491.0,Southern Mississippi,27.0,0.18064724689831105,1254.0,1275.0,-258.0,3.0,Away,W
